input_text;target_text;path
padavidhiritivyācakṣate.tadāpina.samāsatadhdhitaikaśeṣayāsanādyaṃtadhātūnāṃśāṣdikasaṃmatānāṃbhavatsama;padavidhiritivyācakṣate.tadāpina.samāsataddhitaikaśeṣayāsanādyaṃtadhātūnāṃśābdikasaṃmatānāṃbhavatsama;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/1.jpg
tasub_idheścatenasaṃgrahepiparāgavadbhāvasyapadaniṣyādakatvābhāvenatasadhrahānāpatteḥiṣyatecaparāṃgava;tasubbidheścatenasaṃgrahepiparāgavadbhāvasyapadeniṣyādakatvābhāvenatatsaṃgrahānāpatteḥ|iṣyatecaparāṃgava;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/2.jpg
dāvepisamarthaparibhāṣāpravṛttirviyyākaraṇe.anyathāyattedivoduhitarmattabhojanaṃtadrāsvabhunajāvahe;bhdāvepisamarthaparibhāṣāpravṛttirvaiyyākaraṇaiḥ.anyathāyattedivoduhitarmarttabhojanaṃtadrāsvabhunajāvahai;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/3.jpg
ityatradivaïtisabaṃtasyaparāṃgavadbhāvavadṛtenamitrāvaruṇāvatāvṛṃdhāvataspṛśetyatrāyamagnenapi;ityatradivaïtisubaṃtasyaparāṃgavadbhāvevadṛtenamitrāvaruṇāvṛtāvaṃdhāvṛtaspṛśetyatrāyamagneja;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/4.jpg
tāityādāvapitratenāyamiśiṃtyādipadānāṃmaṇiparāṃgavadbhāvāpattiḥmitrāvaruṇāvityasyāgneityādeśvā;taïtyādāvapiṛtenāyamityādipadānāṃmapiparāṃgavadbhāvāpattiḥ.mitrāvaruṇāvityasyāgneityādeśvā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/5.jpg
maṃtritasyaivaparataḥsatvāt|naceṣṭāpattiḥāmaṃtritasyacetiṣāṣyenasūdreṇāmaṃt_itavibhaktyaṃtaṃsyādirudā;maṃtritasyaivaparataḥsatvāt.naceṣṭāpattiḥ.āmaṃtritasyacetiṣāṣṭhenasutreṇāmaṃtritavibhattyaṃtaṃsyādirudā;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/6.jpg
ttobhavatītyarthakenāyadātatvāpatteḥiṣyatetvatrāṣṭāmikonighāta.aṣṭamedhyāyehiāmaṃtritasyacetisūtre;ttobhavatītyarthakenādyudātatvāpatteḥ.iṣyatetvatrāṣṭāmikonidyātaḥ.aṣṭamedhyāyehiāmaṃtritasyacetisutre;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/7.jpg
ṇapadāptarasyāpādādislasyāmaṃtritasyasarvasyānudātaḥsyādityarthakenānudāttauvihitaḥsakak_ṛtenāyami;ṇadrāptarasyāpādādisthasyāmaṃtritasyasarvasyānudātaḥsyādityarthakenānudātauvihitaḥ.sacakṛtenāyami;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/8.jpg
tipadayauḥparīṃgavad_āvekathaṃsaṃgaghate.mitrāvaruṇāravityādevāmaṃtritatvepipadāpparatvābhāvāpatteḥ.pad_āditvāpa;tipadayauḥparāṃgavabhdāvekathaṃsaṃgachate.mitrāvaruṇāvitya.devāmaṃtritatvepipadāptaratvābhāvāpatteḥ.pādāditvāpa;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/9.jpg
tteścaparāṃgavadbhāvābhāvehitlatenetyetasmāptadāptavatvādapādādaditvāccayubyetenudāttatā.satvamamarthapa;teśca.parāṃgavadbhāvābhāvehiṛtenetyetasmāptadāptaratvādapādāditvāccayujyetenudāttatā.sacamamarthapa;/home/ocr_proj/OCR/vPostNAAC/line_images/train_big_llm_10/10.jpg
